proc xmin xmax y yerr
dibosons 200.0 270.0 0.121680654585 0.0447864514649
dibosons 270.0 350.0 0.0518582649529 0.0190835256782
dibosons 350.0 475.0 0.0093097826466 0.00342594323406
dibosons 475.0 1000.0 0.0036599044688 0.00134749811349
stop 200.0 270.0 0.0236463453621 0.00607986732624
stop 270.0 350.0 0.00655302545056 0.00168432565654
stop 350.0 475.0 0.00102903624065 0.000264399827686
stop 475.0 1000.0 7.47020521885e-06 1.93429104495e-06
ttbar 200.0 270.0 0.0450215227902 0.00612185184401
ttbar 270.0 350.0 0.0120856566355 0.00158383740606
ttbar 350.0 475.0 0.00543374521658 0.000545364926269
ttbar 475.0 1000.0 0.000211463004234 8.51782699049e-05
zll 200.0 270.0 0.909070193768 0.0959874906983
zll 270.0 350.0 0.357459872961 0.0486140234014
zll 350.0 475.0 0.117182478309 0.0198282669895
zll 475.0 1000.0 0.0104442955926 0.00273270779686
