proc xmin xmax y yerr
dibosons 200.0 270.0 1.4827735424 0.543478869662
dibosons 270.0 350.0 0.718980610371 0.313784834307
dibosons 350.0 475.0 0.213542863727 0.0791974463776
dibosons 475.0 1000.0 0.0169003978372 0.00830100003122
stop 200.0 270.0 0.0486859306693 0.0160316979771
stop 270.0 350.0 0.0273904763162 0.0106568645631
stop 350.0 475.0 0.00342690269463 0.00217532782949
stop 475.0 1000.0 0.000336624478223 0.000285337044584
ttbar 200.0 270.0 0.325770705938 0.0464984583958
ttbar 270.0 350.0 0.0929944217205 0.0174515527642
ttbar 350.0 475.0 0.0202655158937 0.00541066655359
ttbar 475.0 1000.0 0.000690255546942 0.000438918303183
zll 200.0 270.0 23.4172725677 0.660485656536
zll 270.0 350.0 10.3826341629 0.322319671723
zll 350.0 475.0 2.51913952827 0.0988075657143
zll 475.0 1000.0 0.145801723003 0.00695892060299
