proc xmin xmax y yerr
qcd 200.0 270.0 1.23826998788e-06 1.23886963929e-06
qcd 270.0 350.0 8.66789008191e-14 8.67208785508e-14
qcd 350.0 475.0 8.66789008191e-14 8.67208785508e-14
qcd 475.0 1000.0 8.66789008191e-14 8.67208785508e-14
dibosons 200.0 270.0 6.00518579308e-10 2.23581325051e-10
dibosons 270.0 350.0 6.00518579308e-10 2.23581325051e-10
dibosons 350.0 475.0 0.0048041488044 0.00178865114136
dibosons 475.0 1000.0 6.00518579308e-10 2.23581325051e-10
zll 200.0 270.0 0.000356492906576 3.94880767138e-05
zll 270.0 350.0 0.00324355717748 0.000382619662354
zll 350.0 475.0 8.05552699603e-05 1.04886393503e-05
zll 475.0 1000.0 6.38536148472e-05 8.91532576456e-06
stop 200.0 270.0 0.0747485235333 0.0194114175142
stop 270.0 350.0 0.0384228490293 0.00998251905116
stop 350.0 475.0 0.00700472388417 0.00182041550274
stop 475.0 1000.0 9.18181530807e-09 2.38455199882e-09
wjets 200.0 270.0 0.0228444002569 0.0028457538308
wjets 270.0 350.0 0.0211241338402 0.0024493953405
wjets 350.0 475.0 0.00881316605955 0.00124802611917
wjets 475.0 1000.0 0.00223386194557 0.000299175035569
ttbar 200.0 270.0 2.105509758 0.134459504459
ttbar 270.0 350.0 0.589991211891 0.0641853735849
ttbar 350.0 475.0 0.099059805274 0.0236812733101
ttbar 475.0 1000.0 0.00834559462965 0.00454483333201
