proc xmin xmax y yerr
qcd 200.0 270.0 0.0045717600733 0.0028295431018
qcd 270.0 350.0 3.20023202383e-10 1.98068005478e-10
qcd 350.0 475.0 3.20023202383e-10 1.98068005478e-10
qcd 475.0 1000.0 3.20023202383e-10 1.98068005478e-10
dibosons 200.0 270.0 0.00956698413938 0.00357572621465
dibosons 270.0 350.0 0.0108296880499 0.0040557340356
dibosons 350.0 475.0 1.53606405373e-09 5.74754369041e-10
dibosons 475.0 1000.0 1.53606405373e-09 5.74754369041e-10
zll 200.0 270.0 0.010551978834 0.00182668601859
zll 270.0 350.0 0.0012236185139 0.000120275752933
zll 350.0 475.0 0.000278434425127 4.2386791981e-05
zll 475.0 1000.0 1.44835667015e-05 2.00724124048e-06
stop 200.0 270.0 0.156675189734 0.0402008602218
stop 270.0 350.0 0.0503221228719 0.0129017175285
stop 350.0 475.0 0.0146309947595 0.00375400247039
stop 475.0 1000.0 0.000612281088252 0.000157212162506
wjets 200.0 270.0 0.130553901196 0.0151190365294
wjets 270.0 350.0 0.0733684450388 0.00790687068945
wjets 350.0 475.0 0.0215259641409 0.00291680723267
wjets 475.0 1000.0 0.000631441362202 8.1999865183e-05
ttbar 200.0 270.0 3.50679016113 0.195484982433
ttbar 270.0 350.0 0.914271950722 0.0943888545446
ttbar 350.0 475.0 0.127214178443 0.0293981860351
ttbar 475.0 1000.0 0.00700238859281 0.00433624972581
