proc xmin xmax y yerr
dibosons 200.0 270.0 0.0863166972995 0.0275519401797
dibosons 270.0 350.0 0.036789573729 0.0117419783535
dibosons 350.0 475.0 0.00660459697247 0.00210796208436
dibosons 475.0 1000.0 0.00259592966177 0.000828746470805
stop 200.0 270.0 0.0288592167199 0.00961006045804
stop 270.0 350.0 0.00799854099751 0.00266348446171
stop 350.0 475.0 0.00125618826132 0.000418258071428
stop 475.0 1000.0 9.10271228349e-06 3.02370952299e-06
ttbar 200.0 270.0 0.061747699976 0.0122690684351
ttbar 270.0 350.0 0.0164434574544 0.00321006119853
ttbar 350.0 475.0 0.0069297910668 0.00110024909496
ttbar 475.0 1000.0 0.00038323935587 0.000178123540049
zll 200.0 270.0 0.715774834156 0.0867627144107
zll 270.0 350.0 0.344445586205 0.0465135578905
zll 350.0 475.0 0.0880203917623 0.0121422693871
zll 475.0 1000.0 0.00743313413113 0.00100474571119
data 200.0 270.0 1.21428573132 0.131707777961
data 270.0 350.0 0.4375 0.0739509972887
data 350.0 475.0 0.143999993801 0.033941125497
data 475.0 1000.0 0.0133333336562 0.00503952630679
