proc xmin xmax y yerr
dibosons 200.0 270.0 1.06671667099 0.346039475433
dibosons 270.0 350.0 0.510462105274 0.170585008343
dibosons 350.0 475.0 0.15028052032 0.0567003106654
dibosons 475.0 1000.0 0.0108655523509 0.00479371366409
stop 200.0 270.0 0.0596293769777 0.0222911512718
stop 270.0 350.0 0.0334517136216 0.0134839265855
stop 350.0 475.0 0.00417284248397 0.0026729889426
stop 475.0 1000.0 0.000399401527829 0.000374198530312
ttbar 200.0 270.0 0.427603393793 0.0848128297219
ttbar 270.0 350.0 0.118998892605 0.0253711713947
ttbar 350.0 475.0 0.0272136796266 0.00844644118018
ttbar 475.0 1000.0 0.000999937066808 0.000617417856031
zll 200.0 270.0 21.8709506989 3.65758889748
zll 270.0 350.0 9.32186985016 1.68653220222
zll 350.0 475.0 2.17242431641 0.428127828992
zll 475.0 1000.0 0.119681805372 0.026422545636
data 200.0 270.0 24.6000003815 0.592814112036
data 270.0 350.0 11.1875 0.373956882541
data 350.0 475.0 2.79200005531 0.149452333538
data 475.0 1000.0 0.196190476418 0.0193312220287
