proc xmin xmax y yerr
dibosons 200.0 270.0 0.126886367798 0.0398619610177
dibosons 270.0 350.0 0.0434332750738 0.0136555458374
dibosons 350.0 475.0 0.0116183944046 0.00364934094044
dibosons 475.0 1000.0 0.000568808289245 0.000178662770273
stop 200.0 270.0 0.022380232811 0.00742622298322
stop 270.0 350.0 0.0298586674035 0.00992452801881
stop 350.0 475.0 0.00330350291915 0.00110891163022
stop 475.0 1000.0 9.95879599941e-06 3.30220305928e-06
ttbar 200.0 270.0 0.0975679680705 0.0182606620279
ttbar 270.0 350.0 0.0202687177807 0.0043467330248
ttbar 350.0 475.0 0.00645873928443 0.00194064324312
ttbar 475.0 1000.0 9.25859744427e-09 1.85868577598e-09
zll 200.0 270.0 1.11582016945 0.125011143188
zll 270.0 350.0 0.499272912741 0.0584305869313
zll 350.0 475.0 0.137430489063 0.0175791353359
zll 475.0 1000.0 0.00989354308695 0.00121759860324
data 200.0 270.0 1.61428570747 0.151859225896
data 270.0 350.0 0.574999988079 0.0847791247891
data 350.0 475.0 0.159999996424 0.03577708764
data 475.0 1000.0 0.0114285713062 0.00466569474816
