proc xmin xmax y yerr
qcd 200.0 270.0 1.42857038554e-06 1.34543499544e-06
qcd 270.0 350.0 9.99999304825e-14 9.41804436314e-14
qcd 350.0 475.0 9.99999304825e-14 9.41804436314e-14
qcd 475.0 1000.0 9.99999304825e-14 9.41804436314e-14
dibosons 200.0 270.0 4.24483476147e-10 1.35185060324e-10
dibosons 270.0 350.0 4.24483476147e-10 1.35185060324e-10
dibosons 350.0 475.0 0.00339586799964 0.00108148066867
dibosons 475.0 1000.0 4.24483476147e-10 1.35185060324e-10
zll 200.0 270.0 0.000255780294538 7.0652183089e-05
zll 270.0 350.0 0.00285835796967 0.000577919396585
zll 350.0 475.0 6.54756368021e-05 1.56038067087e-05
zll 475.0 1000.0 4.81725146528e-05 1.33042186953e-05
stop 200.0 270.0 0.0911458134651 0.0300006363722
stop 270.0 350.0 0.0468307249248 0.0153980794514
stop 350.0 475.0 0.00852992851287 0.00280310828509
stop 475.0 1000.0 1.11929052693e-08 3.68172154689e-09
wjets 200.0 270.0 0.0190692991018 0.00390250279582
wjets 270.0 350.0 0.016656383872 0.00354893864689
wjets 350.0 475.0 0.00676723057404 0.0016188906441
wjets 475.0 1000.0 0.00169044407085 0.000399235543565
ttbar 200.0 270.0 2.2716460228 0.197663071104
ttbar 270.0 350.0 0.731767117977 0.0799572064266
ttbar 350.0 475.0 0.129393547773 0.0238911756037
ttbar 475.0 1000.0 0.00499498751014 0.00443264907066
data 200.0 270.0 2.58571434021 0.192194629244
data 270.0 350.0 0.662500023842 0.091001373616
data 350.0 475.0 0.12800000608 0.032
data 475.0 1000.0 0.0133333336562 0.00503952630679
