proc xmin xmax y yerr
qcd 200.0 270.0 13.018245697 12.0899162205
qcd 270.0 350.0 2.16964459419 2.01445081473
qcd 350.0 475.0 0.328512936831 0.304958938586
qcd 475.0 1000.0 0.0161958131939 0.0150406917086
dibosons 200.0 270.0 17.6577739716 5.50180922835
dibosons 270.0 350.0 7.8430762291 2.44408540497
dibosons 350.0 475.0 2.0776488781 0.647422109507
dibosons 475.0 1000.0 0.179090708494 0.0558043148536
zll 200.0 270.0 9.56755161285 1.57872059074
zll 270.0 350.0 2.79533433914 0.506817610158
zll 350.0 475.0 0.478632718325 0.0931438336113
zll 475.0 1000.0 0.0176041033119 0.00379249428405
stop 200.0 270.0 16.0302467346 5.26716061622
stop 270.0 350.0 5.71118545532 1.87624600526
stop 350.0 475.0 1.24144029617 0.407725474693
stop 475.0 1000.0 0.0562781393528 0.0184834729875
wjets 200.0 270.0 256.594787598 42.0543305588
wjets 270.0 350.0 90.0184783936 16.2023586487
wjets 350.0 475.0 19.6616077423 3.83430289128
wjets 475.0 1000.0 1.0125118494 0.216188882118
ttbar 200.0 270.0 77.263092041 12.0328006306
ttbar 270.0 350.0 24.3838405609 3.75936753168
ttbar 350.0 475.0 4.03183698654 0.61311241207
ttbar 475.0 1000.0 0.13963110745 0.0209131741483
data 200.0 270.0 393.11428833 2.36979289545
data 270.0 350.0 140.462493896 1.32505896095
data 350.0 475.0 31.6639995575 0.503301102721
data 475.0 1000.0 1.79238092899 0.0584299491435
