type x y yerrup yerrdown
pre 235.0 1.36024175744 0.147538931524 0.147538931524
post 235.0 1.10447972712 0.119797644748 0.119797644748
pre 310.0 1.0784437302 0.182290261413 0.182290261413
post 310.0 1.02229940038 0.172800137568 0.172800137568
pre 412.5 1.40062876774 0.330131380743 0.330131380743
post 412.5 1.08307281107 0.255282720731 0.255282720731
pre 737.5 1.2794178679 0.483574488489 0.483574488489
post 737.5 0.930895050356 0.351845248615 0.351845248615
unc 200.0 270.0 0.0727309987377 0.0727309987377
unc 270.0 350.0 0.112468290534 0.112468290534
unc 350.0 475.0 0.147720415385 0.147720415385
unc 475.0 1000.0 0.203638837807 0.203638837807
