type x y yerrup yerrdown
pre 235.0 1.05016458229 0.0253070071012 0.0253070071012
post 235.0 0.973312968762 0.0234550266001 0.0234550266001
pre 310.0 1.12045508402 0.037452682927 0.037452682927
post 310.0 0.996925670852 0.0333235500333 0.0333235500333
pre 412.5 1.18602024049 0.0634862066807 0.0634862066807
post 412.5 1.01292466427 0.0542206130995 0.0542206130995
pre 737.5 1.48689190137 0.146507812219 0.146507812219
post 737.5 1.19826347122 0.118068407978 0.118068407978
unc 200.0 270.0 0.0198814672422 0.0198814672422
unc 270.0 350.0 0.0245295223836 0.0245295223836
unc 350.0 475.0 0.0278578632841 0.0278578632841
unc 475.0 1000.0 0.0476413288894 0.0476413288894
