type x y yerrup yerrdown
pre 235.0 1.18466235363 0.111443660275 0.111443660275
post 235.0 0.994494577381 0.0935541806384 0.0935541806384
pre 310.0 0.969918049261 0.143006617458 0.143006617458
post 310.0 0.951044316152 0.140223837271 0.140223837271
pre 412.5 1.00748608931 0.225280743245 0.225280743245
post 412.5 0.814730809747 0.182179351468 0.182179351468
pre 737.5 1.09131236445 0.445526411921 0.445526411921
post 737.5 0.789212605216 0.322194700343 0.322194700343
unc 200.0 270.0 0.0728054072259 0.0728054072259
unc 270.0 350.0 0.106272494961 0.106272494961
unc 350.0 475.0 0.131745047 0.131745047
unc 475.0 1000.0 0.240778002856 0.240778002856
