type x y yerrup yerrdown
pre 235.0 1.07981006784 0.0334032880948 0.0334032880948
post 235.0 1.0063954806 0.0311322511031 0.0311322511031
pre 310.0 1.08519788803 0.0494294085466 0.0494294085466
post 310.0 0.998840396174 0.0454959326403 0.0454959326403
pre 412.5 0.997804506162 0.073162574357 0.073162574357
post 412.5 0.987553373062 0.0724109248274 0.0724109248274
pre 737.5 1.29455598184 0.135706341694 0.135706341694
post 737.5 1.0016421064 0.105000624038 0.105000624038
unc 200.0 270.0 0.0276800378929 0.0276800378929
unc 270.0 350.0 0.0486725100318 0.0486725100318
unc 350.0 475.0 0.0864979281492 0.0864979281492
unc 475.0 1000.0 0.184389740009 0.184389740009
