type x y yerrup yerrdown
pre 235.0 0.758163593902 0.0489392490619 0.0489392490619
post 235.0 0.897835027281 0.0579550012293 0.0579550012293
pre 310.0 0.8071362792 0.0885947143614 0.0885947143614
post 310.0 0.988080385814 0.108455909867 0.108455909867
pre 412.5 0.720668323267 0.165332657576 0.165332657576
post 412.5 0.928813876318 0.213084523916 0.213084523916
pre 737.5 0.591382798464 0.341435021544 0.341435021544
post 737.5 0.691752178303 0.399383310633 0.399383310633
unc 200.0 270.0 0.0520325558723 0.0520325558723
unc 270.0 350.0 0.0867720790777 0.0867720790777
unc 350.0 475.0 0.176531167022 0.176531167022
unc 475.0 1000.0 0.524212134381 0.524212134381
